seller_city,order_id
cachoeira do sul,3
olimpia,3
jacarei / sao paulo,3
santa terezinha de goias,3
santa rosa,3
santa maria,3
rio do oeste,3
garopaba,3
vitoria de santo antao,3
ourinhos,3
osvaldo cruz,3
ji parana,3
ouro fino,3
itirapina,3
itaporanga,3
pedrinhas paulista,3
lagoa da prata,3
fernando prestes,3
campina grande,2
sao vicente,2
sao paulo / sao paulo,2
bom jardim,2
camboriu,2
balenario camboriu,2
sao paulop,2
nova trento,2
vendas@creditparts.com.br,2
maua/sao paulo,2
varzea alegre,2
lambari,2
neopolis,2
parana,2
joao pessoa,2
jaciara,2
paraiso do sul,2
pinhalzinho,2
pinhais/pr,2
igaracu do tiete,2
ipe,2
itapetininga,2
uberaba,2
formosa,2
embu das artes,2
floranopolis,2
guaira,2
gaspar,2
governador valadares,2
"rio de janeiro, rio de janeiro, brasil",2
robeirao preto,2
ferraz de  vasconcelos,2
cerqueira cesar,2
sao joao da boa vista,2
sao  jose dos pinhais,2
sao miguel d'oeste,2
rio bonito,2
cosmopolis,2
sao jose do rio pret,2
imigrante,1
ibirite,1
prados,1
resende,1
itapema,1
pouso alegre,1
ipua,1
irece,1
pitangueiras,1
pirassununga,1
paracambi,1
paranavai,1
passos,1
pelotas,1
itapui,1
ivoti,1
juzeiro do norte,1
jarinu,1
orlandia,1
palotina,1
oliveira,1
orleans,1
angra dos reis rj,1
araquari,1
aracaju,1
mucambo,1
mage,1
minas gerais,1
viana,1
messias targino,1
nhandeara,1
"novo hamburgo, rio grande do sul, brasil",1
sao miguel do oeste,1
condor,1
caucaia,1
cianorte,1
cordilheira alta,1
feira de santana,1
cravinhos,1
dores de campos,1
santa catarina,1
guaimbe,1
rio das pedras,1
goioere,1
francisco morato,1
ronda alta,1
sao paulo sp,1
castro pires,1
soledade,1
bofete,1
sbc,1
campo magro,1
são paulo,1
sao sebastiao da grama/sp,1
carmo da mata,1
cacador,1
avare,1
belo horizont,1
belford roxo,1
barbacena,1
tres de maio,1
barbacena/ minas gerais,1
uniao da vitoria,1
xaxim,1
